species,genus,species_1,family,order,C,S,R,CSR
Blackstonia perfoliata,Blackstonia,perfoliata,Gentianaceae,Gentianales,6.27,34.85,58.88,SR
Blechnum spicant,Blechnum,spicant,Blechnaceae,Polypodiales,69.4,0,30.6,C/CR
Borago officinalis,Borago,officinalis,Boraginaceae,Boraginales,57.74,0,42.26,CR
Brassica elongata,Brassica,elongata,Brassicaceae,Brassicales,31.58,33.97,34.45,CSR
Brassica napus,Brassica,napus,Brassicaceae,Brassicales,57.99,0.26,41.75,CR
Brassica nigra,Brassica,nigra,Brassicaceae,Brassicales,64.44,0,35.56,C/CR
Brassica oleracea,Brassica,oleracea,Brassicaceae,Brassicales,18.82,59.06,22.12,S/CSR
Brassica rapa,Brassica,rapa,Brassicaceae,Brassicales,57.48,0,42.52,CR
Bunias orientalis,Bunias,orientalis,Brassicaceae,Brassicales,65.13,0,34.87,C/CR
Bunium bulbocastanum,Bunium,bulbocastanum,Apiaceae,Apiales,45.74,0,54.26,CR
Buphthalmum salicifolium,Buphthalmum,salicifolium,Asteraceae,Asterales,24.35,16.62,59.03,R/CSR
Bupleurum rotundifolium,Bupleurum,rotundifolium,Apiaceae,Apiales,34.31,33.03,32.66,CSR
Bupleurum tenuissimum,Bupleurum,tenuissimum,Apiaceae,Apiales,5.66,14.68,79.66,R/SR
Calendula arvensis,Calendula,arvensis,Asteraceae,Asterales,36.15,0,63.85,R/CR
Calepina irregularis,Calepina,irregularis,Brassicaceae,Brassicales,35.91,0,64.09,R/CR
Calla palustris,Calla,palustris,Araceae,Alismatales,64.76,0,35.24,C/CR
Caltha palustris,Caltha,palustris,Ranunculaceae,Ranunculales,59.13,0,40.87,CR
Calystegia silvatica,Calystegia,silvatica,Convolvulaceae,Solanales,45.11,0,54.89,CR
Calystegia soldanella,Calystegia,soldanella,Convolvulaceae,Solanales,49.41,0,50.59,CR
Camelina microcarpa,Camelina,microcarpa,Brassicaceae,Brassicales,34.92,0,65.08,R/CR
Campanula cervicaria,Campanula,cervicaria,Campanulaceae,Asterales,21.38,39.75,38.87,SR/CSR
Campanula cochleariifolia,Campanula,cochleariifolia,Campanulaceae,Asterales,3.63,29.68,66.69,R/SR
Campanula glomerata,Campanula,glomerata,Campanulaceae,Asterales,54.37,12.43,33.2,C/CSR
Campanula latifolia,Campanula,latifolia,Campanulaceae,Asterales,44.82,0,55.18,CR
Campanula persicifolia,Campanula,persicifolia,Campanulaceae,Asterales,20.78,36.78,42.44,SR/CSR
Campanula rapunculoides,Campanula,rapunculoides,Campanulaceae,Asterales,35.03,0,64.97,R/CR
Campanula rapunculus,Campanula,rapunculus,Campanulaceae,Asterales,28.99,0,71.01,R/CR
Campanula rotundifolia,Campanula,rotundifolia,Campanulaceae,Asterales,7.37,23.6,69.03,R/SR
Campanula sibirica,Campanula,sibirica,Campanulaceae,Asterales,18.96,48.57,32.47,SR/CSR
Campanula trachelium,Campanula,trachelium,Campanulaceae,Asterales,44.07,0,55.93,CR
Cannabis sativa,Cannabis,sativa,Cannabaceae,Rosales,45.27,22.71,32.02,CR/CSR
Capsella bursa-pastoris,Capsella,bursa-pastoris,Brassicaceae,Brassicales,41.05,0,58.95,CR
Capsella grandiflora,Capsella,grandiflora,Brassicaceae,Brassicales,23.98,0,76.02,R/CR
Capsella rubella,Capsella,rubella,Brassicaceae,Brassicales,38.46,0,61.54,CR
Cardamine bulbifera,Cardamine,bulbifera,Brassicaceae,Brassicales,23.85,0,76.15,R/CR
Cardamine heptaphylla,Cardamine,heptaphylla,Brassicaceae,Brassicales,53.72,0,46.28,CR
Cardamine hirsuta,Cardamine,hirsuta,Brassicaceae,Brassicales,7.1,26.21,66.69,R/SR
Cardamine parviflora,Cardamine,parviflora,Brassicaceae,Brassicales,7.09,0.16,92.75,R
Cardamine pratensis,Cardamine,pratensis,Brassicaceae,Brassicales,36.97,10.88,52.15,CR/CSR
Carduus acanthoides,Carduus,acanthoides,Asteraceae,Asterales,65.7,0,34.3,C/CR
Carthamus tinctorius,Carthamus,tinctorius,Asteraceae,Asterales,70.18,0,29.82,C/CR
Carum carvi,Carum,carvi,Apiaceae,Apiales,31.93,29.06,39.01,CSR
Catananche caerulea,Catananche,caerulea,Asteraceae,Asterales,44.52,0,55.48,CR
Centaurea aspera,Centaurea,aspera,Asteraceae,Asterales,48.88,0,51.12,CR
Centaurea calcitrapa,Centaurea,calcitrapa,Asteraceae,Asterales,48.83,0.05,51.12,CR
Centaurea diffusa,Centaurea,diffusa,Asteraceae,Asterales,25.27,38.1,36.63,CSR
Centaurea jacea,Centaurea,jacea,Asteraceae,Asterales,39.19,24.35,36.46,CR/CSR
Centaurea nigra,Centaurea,nigra,Asteraceae,Asterales,26.23,55.23,18.54,S/CSR
Centaurea nigrescens,Centaurea,nigrescens,Asteraceae,Asterales,46.21,8.77,45.02,CR
Centaurea phrygia,Centaurea,phrygia,Asteraceae,Asterales,57.09,0,42.91,CR
Centaurea scabiosa,Centaurea,scabiosa,Asteraceae,Asterales,54.44,22.14,23.43,C/CSR
Centaurea solstitialis,Centaurea,solstitialis,Asteraceae,Asterales,29.23,13.19,57.58,R/CSR
Centaurea stoebe,Centaurea,stoebe,Asteraceae,Asterales,32.89,1.2,65.91,R/CR
Centaurium erythraea,Centaurium,erythraea,Gentianaceae,Gentianales,23.27,15.89,60.84,R/CSR
Centaurium littorale,Centaurium,littorale,Gentianaceae,Gentianales,1,44.37,54.63,SR
Centaurium pulchellum,Centaurium,pulchellum,Gentianaceae,Gentianales,0,10.26,89.74,R
Cerastium arvense,Cerastium,arvense,Caryophyllaceae,Caryophyllales,3.52,41.6,54.88,SR
Cerastium brachypetalum,Cerastium,brachypetalum,Caryophyllaceae,Caryophyllales,11.04,0,88.96,R
Cerastium glomeratum,Cerastium,glomeratum,Caryophyllaceae,Caryophyllales,13.45,0,86.55,R
Cerastium ligusticum,Cerastium,ligusticum,Caryophyllaceae,Caryophyllales,3.4,0,96.6,R
Cerastium pumilum,Cerastium,pumilum,Caryophyllaceae,Caryophyllales,0,0,100,R
Cerastium semidecandrum,Cerastium,semidecandrum,Caryophyllaceae,Caryophyllales,6.32,45.24,48.45,SR
Cerastium tomentosum,Cerastium,tomentosum,Caryophyllaceae,Caryophyllales,7.77,43.95,48.28,SR
Ceratocapnos claviculata,Ceratocapnos,claviculata,Papaveraceae,Ranunculales,13.04,0,86.96,R
Ceratostigma plumbaginoides,Ceratostigma,plumbaginoides,Plumbaginaceae,Caryophyllales,23.23,37.13,39.64,SR/CSR
Cerinthe minor,Cerinthe,minor,Boraginaceae,Boraginales,40.26,0.68,59.06,CR
Ceterach officinarum,Ceterach,officinarum,Aspleniaceae,Polypodiales,33.22,66.64,0.14,S/CS
Chaenorhinum minus,Chaenorhinum,minus,Plantaginaceae,Lamiales,3.9,0,96.1,R
Chaerophyllum bulbosum,Chaerophyllum,bulbosum,Apiaceae,Apiales,57.93,26.3,15.77,C/CSR
Chaerophyllum hirsutum,Chaerophyllum,hirsutum,Apiaceae,Apiales,44.73,15.09,40.17,CR/CSR
Chamaecrista fasciculata,Chamaecrista,fasciculata,Fabaceae,Fabales,7.46,92.54,0,S
Chelidonium majus,Chelidonium,majus,Papaveraceae,Ranunculales,49.39,17.7,32.91,CR/CSR
Chenopodium album,Chenopodium,album,Amaranthaceae,Caryophyllales,30.53,34.1,35.36,CSR
Chenopodium bonus-henricus,Chenopodium,bonus-henricus,Amaranthaceae,Caryophyllales,52.1,6.34,41.56,CR
Chenopodium ficifolium,Chenopodium,ficifolium,Amaranthaceae,Caryophyllales,30.05,30.37,39.58,CSR
Chenopodium fremontii,Chenopodium,fremontii,Amaranthaceae,Caryophyllales,30.41,19.25,50.34,R/CSR
Chenopodium glaucum,Chenopodium,glaucum,Amaranthaceae,Caryophyllales,20.75,0,79.25,R/CR
Chenopodium hybridum,Chenopodium,hybridum,Amaranthaceae,Caryophyllales,43.94,0,56.06,CR
Chenopodium rubrum,Chenopodium,rubrum,Amaranthaceae,Caryophyllales,48.03,0,51.97,CR
Chenopodium urbicum,Chenopodium,urbicum,Amaranthaceae,Caryophyllales,32.61,43.67,23.72,CS/CSR
Chondrilla juncea,Chondrilla,juncea,Asteraceae,Asterales,47.47,15.47,37.06,CR/CSR
Cicendia filiformis,Cicendia,filiformis,Gentianaceae,Gentianales,0,35.16,64.84,R/SR
Cichorium intybus,Cichorium,intybus,Asteraceae,Asterales,36.55,41.68,21.77,CS/CSR
Cirsium dissectum,Cirsium,dissectum,Asteraceae,Asterales,55.94,0,44.06,CR
Cirsium erisithales,Cirsium,erisithales,Asteraceae,Asterales,80.08,0,19.92,C/CR
Cirsium helenioides,Cirsium,helenioides,Asteraceae,Asterales,70.38,0,29.62,C/CR
Cirsium oleraceum,Cirsium,oleraceum,Asteraceae,Asterales,57.33,0,42.67,CR
Cirsium vulgare,Cirsium,vulgare,Asteraceae,Asterales,79.05,0,20.95,C/CR
Claytonia perfoliata,Claytonia,perfoliata,Montiaceae,Caryophyllales,21.49,0,78.51,R/CR
Clinopodium vulgare,Clinopodium,vulgare,Melastomataceae,Myrtales,24.72,30.41,44.86,R/CSR
Colchicum autumnale,Colchicum,autumnale,Colchicaceae,Liliales,68.25,0,31.75,C/CR
Commelina benghalensis,Commelina,benghalensis,Commelinaceae,Commelinales,45.56,0,54.44,CR
Commelina communis,Commelina,communis,Commelinaceae,Commelinales,33.2,0,66.8,R/CR
Conium maculatum,Conium,maculatum,Apiaceae,Apiales,64.12,13.1,22.78,C/CR
Conringia orientalis,Conringia,orientalis,Brassicaceae,Brassicales,56.81,0,43.19,CR
Consolida regalis,Consolida,regalis,Ranunculaceae,Ranunculales,20.39,36.93,42.68,SR/CSR
Convallaria majalis,Convallaria,majalis,Asparagaceae,Asparagales,44.9,14.11,41,CR/CSR
Coreopsis tinctoria,Coreopsis,tinctoria,Asteraceae,Asterales,52.44,0,47.56,CR
Coriandrum sativum,Coriandrum,sativum,Apiaceae,Apiales,29.15,0,70.85,R/CR
Corispermum intermedium,Corispermum,intermedium,Amaranthaceae,Caryophyllales,21.08,6.76,72.16,R/CR
Coronilla vaginalis,Coronilla,vaginalis,Fabaceae,Fabales,27.06,17.24,55.7,R/CSR
Corrigiola litoralis,Corrigiola,litoralis,Caryophyllaceae,Caryophyllales,0,0,100,R
Corydalis cava,Corydalis,cava,Papaveraceae,Ranunculales,49.23,0,50.77,CR
Corydalis solida,Corydalis,solida,Papaveraceae,Ranunculales,36.67,0,63.33,R/CR
Cosmos parviflorus,Cosmos,parviflorus,Asteraceae,Asterales,27.88,0,72.12,R/CR
Cotula coronopifolia,Cotula,coronopifolia,Asteraceae,Asterales,13.53,0,86.47,R
Crepis aurea,Crepis,aurea,Asteraceae,Asterales,18.32,27.32,54.36,R/CSR
Crepis capillaris,Crepis,capillaris,Asteraceae,Asterales,36.33,0,63.67,R/CR
Crepis foetida,Crepis,foetida,Asteraceae,Asterales,39.12,0,60.88,CR
Crepis setosa,Crepis,setosa,Asteraceae,Asterales,49.04,0,50.96,CR
Crepis tectorum,Crepis,tectorum,Asteraceae,Asterales,21.31,0,78.69,R/CR
Crepis vesicaria,Crepis,vesicaria,Asteraceae,Asterales,53.59,0,46.41,CR
Croton capitatus,Croton,capitatus,Euphorbiaceae,Malpighiales,12.72,77.22,10.06,S/CS
Cruciata glabra,Cruciata,glabra,Rubiaceae,Gentianales,4.16,15.47,80.37,R/SR
Cruciata laevipes,Cruciata,laevipes,Rubiaceae,Gentianales,0.04,44.17,55.79,SR
Cyanus segetum,Cyanus,segetum,Asteraceae,Asterales,21.91,0,78.09,R/CR
Cyclamen purpurascens,Cyclamen,purpurascens,Primulaceae,Ericales,40.58,0,59.42,CR
Cymbalaria muralis,Cymbalaria,muralis,Plantaginaceae,Lamiales,18.88,0,81.12,R/CR
Cynoglossum officinale,Cynoglossum,officinale,Boraginaceae,Boraginales,45.44,0,54.56,CR
Cyrtomium fortunei,Cyrtomium,fortunei,Dryopteridaceae,Polypodiales,79.48,0,20.52,C/CR
Cystopteris fragilis,Cystopteris,fragilis,Cystopteridaceae,Polypodiales,31.12,0,68.88,R/CR
Dalea purpurea,Dalea,purpurea,Fabaceae,Fabales,4.98,83.24,11.78,S
Datura stramonium,Datura,stramonium,Solanaceae,Solanales,72.62,0,27.38,C/CR
Daucus carota,Daucus,carota,Apiaceae,Apiales,29.2,41.31,29.49,CSR
Dennstaedtia punctilobula,Dennstaedtia,punctilobula,Dennstaedtiaceae,Polypodiales,22.71,31.47,45.81,R/CSR
Descurainia sophia,Descurainia,sophia,Brassicaceae,Brassicales,31.13,1,67.87,R/CR
Desmodium illinoense,Desmodium,illinoense,Fabaceae,Fabales,36.58,40.6,22.82,CS/CSR
Dianthus armeria,Dianthus,armeria,Caryophyllaceae,Caryophyllales,24.35,28.96,46.68,R/CSR
Dianthus barbatus,Dianthus,barbatus,Caryophyllaceae,Caryophyllales,36.17,33.66,30.17,CSR
Dianthus carthusianorum,Dianthus,carthusianorum,Caryophyllaceae,Caryophyllales,16.15,61.42,22.44,S/CSR
Dianthus gratianopolitanus,Dianthus,gratianopolitanus,Caryophyllaceae,Caryophyllales,6.65,57.25,36.1,SR
Dianthus seguieri,Dianthus,seguieri,Caryophyllaceae,Caryophyllales,10.14,64.98,24.87,S/SR
Dianthus sylvestris,Dianthus,sylvestris,Caryophyllaceae,Caryophyllales,15.03,84.97,0,S
Dictamnus albus,Dictamnus,albus,Rutaceae,Sapindales,53.99,35.43,10.58,CS
Digitalis grandiflora,Digitalis,grandiflora,Plantaginaceae,Lamiales,50.93,7.72,41.35,CR
Digitalis lutea,Digitalis,lutea,Plantaginaceae,Lamiales,57.64,3.09,39.28,CR
Dioscorea communis,Dioscorea,communis,Dioscoreaceae,Dioscoreales,48.55,0,51.45,CR
Diplotaxis muralis,Diplotaxis,muralis,Brassicaceae,Brassicales,39.24,0,60.76,CR
Dipsacus pilosus,Dipsacus,pilosus,Caprifoliaceae,Dipsacales,56.1,0,43.9,CR
Dipsacus strigosus,Dipsacus,strigosus,Caprifoliaceae,Dipsacales,70.86,18.4,10.75,C/CS
Drosera intermedia,Drosera,intermedia,Droseraceae,Caryophyllales,0,12.47,87.53,R
Drosera rotundifolia,Drosera,rotundifolia,Droseraceae,Caryophyllales,3.66,0,96.34,R
Dryopteris dilatata,Dryopteris,dilatata,Dryopteridaceae,Polypodiales,42.37,18.73,38.89,CR/CSR
Dryopteris filix-mas,Dryopteris,filix-mas,Dryopteridaceae,Polypodiales,70.89,7.86,21.25,C/CR
Echinops exaltatus,Echinops,exaltatus,Asteraceae,Asterales,54.74,33.15,12.11,C/CSR
Echinops ritro,Echinops,ritro,Asteraceae,Asterales,78.06,11.96,9.98,C/CS
Echium vulgare,Echium,vulgare,Boraginaceae,Boraginales,65.91,4.25,29.84,C/CR
Epilobium brachycarpum,Epilobium,brachycarpum,Onagraceae,Myrtales,6.71,5.87,87.42,R
Epilobium ciliatum,Epilobium,ciliatum,Onagraceae,Myrtales,19.31,0,80.69,R/CR
Epilobium coloratum,Epilobium,coloratum,Onagraceae,Myrtales,11.33,43.55,45.13,SR/CSR
Epilobium dodonaei,Epilobium,dodonaei,Onagraceae,Myrtales,17.96,59.28,22.75,S/CSR
Epilobium hirsutum,Epilobium,hirsutum,Onagraceae,Myrtales,35.57,20.08,44.34,CR/CSR
Epilobium montanum,Epilobium,montanum,Onagraceae,Myrtales,35.39,25.54,39.07,CSR
Epilobium nutans,Epilobium,nutans,Onagraceae,Myrtales,10.16,30.55,59.29,R/CSR
Epipactis atrorubens,Epipactis,atrorubens,Orchidaceae,Asparagales,36,24.08,39.92,CR/CSR
Epipactis helleborine,Epipactis,helleborine,Orchidaceae,Asparagales,23.87,46.15,29.98,S/CSR
Epipactis palustris,Epipactis,palustris,Orchidaceae,Asparagales,26.46,16.58,56.96,R/CSR
Equisetum arvense,Equisetum,arvense,Equisetaceae,Equisetales,14.71,63.77,21.53,S/CSR
Equisetum telmateia,Equisetum,telmateia,Equisetaceae,Equisetales,18.28,12.05,69.68,R/CR
Erigeron annuus,Erigeron,annuus,Asteraceae,Asterales,41.27,12.95,45.79,CR/CSR
Erigeron canadensis,Erigeron,canadensis,Asteraceae,Asterales,19.31,43.31,37.38,SR/CSR
Erigeron divergens,Erigeron,divergens,Asteraceae,Asterales,7.25,29.97,62.79,R/SR
Erigeron flagellaris,Erigeron,flagellaris,Asteraceae,Asterales,5.25,57.83,36.92,SR
Erigeron karvinskianus,Erigeron,karvinskianus,Asteraceae,Asterales,14.42,18.04,67.54,R/SR
Erigeron strigosus,Erigeron,strigosus,Asteraceae,Asterales,13.42,44.47,42.11,SR/CSR
Erodium cicutarium,Erodium,cicutarium,Geraniaceae,Geraniales,35.42,0,64.58,R/CR
Erodium moschatum,Erodium,moschatum,Geraniaceae,Geraniales,63.8,0,36.2,C/CR
Erophila verna,Erophila,verna,Brassicaceae,Brassicales,4.8,0,95.2,R
Erucastrum nasturtiifolium,Erucastrum,nasturtiifolium,Brassicaceae,Brassicales,52.26,32.33,15.41,C/CSR
Eryngium campestre,Eryngium,campestre,Apiaceae,Apiales,81.3,18.7,0,C/CS
Erysimum cheiranthoides,Erysimum,cheiranthoides,Brassicaceae,Brassicales,9.13,70.93,19.95,S/SR
Erysimum hieraciifolium,Erysimum,hieraciifolium,Brassicaceae,Brassicales,14.89,44.72,40.39,SR/CSR
Erysimum odoratum,Erysimum,odoratum,Brassicaceae,Brassicales,22.55,4.25,73.21,R/CR
Erythronium dens-canis,Erythronium,dens-canis,Liliaceae,Liliales,58.01,0,41.99,CR
Eupatorium cannabinum,Eupatorium,cannabinum,Asteraceae,Asterales,51.9,16.25,31.85,C/CSR
Euphorbia amygdaloides,Euphorbia,amygdaloides,Euphorbiaceae,Malpighiales,14.92,47.36,37.73,SR/CSR
Euphorbia corollata,Euphorbia,corollata,Euphorbiaceae,Malpighiales,6.7,83.59,9.7,S
Euphorbia cyparissias,Euphorbia,cyparissias,Euphorbiaceae,Malpighiales,0,55.18,44.82,SR
Euphorbia dulcis,Euphorbia,dulcis,Euphorbiaceae,Malpighiales,11.22,23.71,65.07,R/SR
Euphorbia esula,Euphorbia,esula,Euphorbiaceae,Malpighiales,6.15,31.11,62.74,R/SR
Euphorbia falcata,Euphorbia,falcata,Euphorbiaceae,Malpighiales,3.19,34.31,62.5,R/SR
Euphorbia helioscopia,Euphorbia,helioscopia,Euphorbiaceae,Malpighiales,22.98,0,77.02,R/CR
Euphorbia lathyris,Euphorbia,lathyris,Euphorbiaceae,Malpighiales,40.94,8.24,50.82,CR
Euphorbia nutans,Euphorbia,nutans,Euphorbiaceae,Malpighiales,5.01,80.42,14.58,S/SR
Euphorbia palustris,Euphorbia,palustris,Euphorbiaceae,Malpighiales,17.51,54.05,28.44,S/CSR
Euphorbia paralias,Euphorbia,paralias,Euphorbiaceae,Malpighiales,5.76,74.48,19.76,S/SR
Euphorbia segetalis,Euphorbia,segetalis,Euphorbiaceae,Malpighiales,1.96,28.78,69.26,R/SR
Euphorbia serpyllifolia,Euphorbia,serpyllifolia,Euphorbiaceae,Malpighiales,1.87,0,98.13,R
Euphorbia variabilis,Euphorbia,variabilis,Euphorbiaceae,Malpighiales,10.87,46.77,42.36,SR/CSR
Euphrasia nemorosa,Euphrasia,nemorosa,Orobanchaceae,Lamiales,1.7,48.26,50.04,SR
Euthamia graminifolia,Euthamia,graminifolia,Asteraceae,Asterales,12.25,67.32,20.43,S/SR
Falcaria vulgaris,Falcaria,vulgaris,Apiaceae,Apiales,77.43,10.82,11.75,C/CR
Fallopia convolvulus,Fallopia,convolvulus,Polygonaceae,Caryophyllales,42.34,17.54,40.12,CR/CSR
Filago pyramidata,Filago,pyramidata,Asteraceae,Asterales,1.07,49.43,49.5,SR
Filipendula ulmaria,Filipendula,ulmaria,Asteraceae,Asterales,63.37,16.64,19.98,C/CSR
Filipendula vulgaris,Filipendula,vulgaris,Rosaceae,Rosales,30.58,49.57,19.86,S/CSR
Foeniculum vulgare,Foeniculum,vulgare,Apiaceae,Apiales,77.32,22.68,0,C/CS
Fragaria moschata,Fragaria,moschata,Rosaceae,Rosales,38.97,2.21,58.82,CR
Fragaria virginiana,Fragaria,virginiana,Rosaceae,Rosales,27.38,61.8,10.82,S/CS
Fritillaria meleagris,Fritillaria,meleagris,Liliaceae,Liliales,32.96,0,67.04,R/CR
Fumaria officinalis,Fumaria,officinalis,Papaveraceae,Ranunculales,32.86,0,67.14,R/CR
Fumaria parviflora,Fumaria,parviflora,Papaveraceae,Ranunculales,33.66,0,66.34,R/CR
Fumaria vaillantii,Fumaria,vaillantii,Papaveraceae,Ranunculales,9.83,0,90.17,R
Galanthus nivalis,Galanthus,nivalis,Amaryllidaceae,Asparagales,42.58,0,57.42,CR
Galeopsis ladanum,Galeopsis,ladanum,Lamiaceae,Lamiales,27.58,23.09,49.33,R/CSR
Galeopsis segetum,Galeopsis,segetum,Lamiaceae,Lamiales,42.03,23.48,34.49,CR/CSR
Galeopsis tetrahit,Galeopsis,tetrahit,Lamiaceae,Lamiales,33.1,0,66.9,R/CR
Galinsoga parviflora,Galinsoga,parviflora,Asteraceae,Asterales,15.22,31.15,53.62,R/CSR
Galium album,Galium,album,Rubiaceae,Gentianales,4.46,35.41,60.13,SR
Galium aparine,Galium,aparine,Rubiaceae,Gentianales,13.69,0,86.31,R
Galium boreale,Galium,boreale,Rubiaceae,Gentianales,5.38,50.66,43.96,SR
Galium glaucum,Galium,glaucum,Rubiaceae,Gentianales,3.87,49.11,47.02,SR
Galium mollugo,Galium,mollugo,Rubiaceae,Gentianales,10.53,28.04,61.43,R/SR
Galium odoratum,Galium,odoratum,Rubiaceae,Gentianales,11.34,0,88.66,R
Galium palustre,Galium,palustre,Rubiaceae,Gentianales,2.42,44.54,53.04,SR
Galium parisiense,Galium,parisiense,Rubiaceae,Gentianales,0,27.8,72.2,R/SR
Galium rotundifolium,Galium,rotundifolium,Rubiaceae,Gentianales,8.06,0,91.94,R
Galium saxatile,Galium,saxatile,Rubiaceae,Gentianales,0,22.84,77.16,R/SR
Galium sylvaticum,Galium,sylvaticum,Rubiaceae,Gentianales,14.99,0,85.01,R
Galium tricornutum,Galium,tricornutum,Rubiaceae,Gentianales,8.24,30.45,61.31,R/SR
Galium uliginosum,Galium,uliginosum,Rubiaceae,Gentianales,4.85,48.29,46.85,SR
Galium verrucosum,Galium,verrucosum,Rubiaceae,Gentianales,4.28,18.32,77.4,R/SR
Gentiana andrewsii,Gentiana,andrewsii,Gentianaceae,Gentianales,37.68,34.8,27.52,CSR
Gentiana asclepiadea,Gentiana,asclepiadea,Gentianaceae,Gentianales,36.66,0,63.34,R/CR
Gentiana clusii,Gentiana,clusii,Gentianaceae,Gentianales,41.72,55.28,3,CS
Gentiana lutea,Gentiana,lutea,Gentianaceae,Gentianales,77.83,13.3,8.87,C/CS
Gentiana septemfida,Gentiana,septemfida,Gentianaceae,Gentianales,13.91,21.36,64.73,R/SR
Gentiana verna,Gentiana,verna,Gentianaceae,Gentianales,10.84,64.99,24.16,S/SR
Geranium dissectum,Geranium,dissectum,Geraniaceae,Geraniales,18.69,25.08,56.24,R/CSR
Geranium lucidum,Geranium,lucidum,Geraniaceae,Geraniales,31.8,16.07,52.13,R/CSR
Geranium molle,Geranium,molle,Geraniaceae,Geraniales,23.99,32.82,43.19,SR/CSR
Geranium nodosum,Geranium,nodosum,Geraniaceae,Geraniales,55.27,5.95,38.78,CR
Geranium phaeum,Geranium,phaeum,Geraniaceae,Geraniales,64.25,0,35.75,C/CR
Geranium pratense,Geranium,pratense,Geraniaceae,Geraniales,55.67,17.92,26.42,C/CSR
Geranium robertianum,Geranium,robertianum,Geraniaceae,Geraniales,22.24,9.52,68.24,R/CR
Geranium rotundifolium,Geranium,rotundifolium,Geraniaceae,Geraniales,23.41,29.89,46.7,R/CSR
Geranium sanguineum,Geranium,sanguineum,Geraniaceae,Geraniales,22.09,55.32,22.6,S/CSR
Geranium sylvaticum,Geranium,sylvaticum,Geraniaceae,Geraniales,35.51,31.02,33.46,CSR
Geum macrophyllum,Geum,macrophyllum,Rosaceae,Rosales,11.52,62.89,25.59,S/SR
Geum urbanum,Geum,urbanum,Rosaceae,Rosales,48.11,29.66,22.23,C/CSR
Gladiolus palustris,Gladiolus,palustris,Iridaceae,Asparagales,40.59,33.13,26.28,CSR
Glaucium flavum,Glaucium,flavum,Papaveraceae,Ranunculales,71.95,0,28.05,C/CR
Glechoma hederacea,Glechoma,hederacea,Lamiaceae,Lamiales,16.6,0,83.4,R/CR
Globularia punctata,Globularia,punctata,Plantaginaceae,Lamiales,26.87,68.99,4.14,S/CS
Gnaphalium purpureum,Gnaphalium,purpureum,Asteraceae,Asterales,19.04,80.96,0,S/CS
Gratiola officinalis,Gratiola,officinalis,Plantaginaceae,Lamiales,11.59,16.44,71.97,R/SR
Gymnadenia conopsea,Gymnadenia,conopsea,Orchidaceae,Asparagales,58.04,0,41.96,CR
Gypsophila perfoliata,Gypsophila,perfoliata,Caryophyllaceae,Caryophyllales,60.42,0,39.58,CR
Gypsophila repens,Gypsophila,repens,Caryophyllaceae,Caryophyllales,11.68,0,88.32,R
Hedeoma hispida,Hedeoma,hispida,Lamiaceae,Lamiales,1.39,42.58,56.03,SR
Helenium autumnale,Helenium,autumnale,Asteraceae,Asterales,9.87,85.51,4.62,S
Helianthus annuus,Helianthus,annuus,Asteraceae,Asterales,77.25,0,22.75,C/CR
Helianthus grosseserratus,Helianthus,grosseserratus,Asteraceae,Asterales,37.74,33.4,28.87,CSR
Helianthus hirsutus,Helianthus,hirsutus,Asteraceae,Asterales,15.63,77.7,6.67,S/CS
Helianthus occidentalis,Helianthus,occidentalis,Asteraceae,Asterales,37.41,43.54,19.06,CS/CSR
Helianthus tuberosus,Helianthus,tuberosus,Asteraceae,Asterales,71.74,0,28.26,C/CR
Helichrysum arenarium,Helichrysum,arenarium,Asteraceae,Asterales,20.69,39.17,40.14,SR/CSR
Heliopsis helianthoides,Heliopsis,helianthoides,Asteraceae,Asterales,45.59,16.96,37.45,CR/CSR
Helleborus foetidus,Helleborus,foetidus,Ranunculaceae,Ranunculales,79.55,7.22,13.23,C/CR
Helleborus niger,Helleborus,niger,Ranunculaceae,Ranunculales,80.29,16.23,3.47,C/CS
Helleborus viridis,Helleborus,viridis,Ranunculaceae,Ranunculales,80.88,0.34,18.78,C/CR
Hepatica nobilis,Hepatica,nobilis,Ranunculaceae,Ranunculales,43.23,30.92,25.86,CSR
Heracleum mantegazzianum,Heracleum,mantegazzianum,Apiaceae,Apiales,73.28,3.98,22.74,C/CR
Heracleum sphondylium,Heracleum,sphondylium,Apiaceae,Apiales,82.75,6.79,10.46,C
Herniaria glabra,Herniaria,glabra,Caryophyllaceae,Caryophyllales,0,27.84,72.16,R/SR
Herniaria hirsuta,Herniaria,hirsuta,Caryophyllaceae,Caryophyllales,0,30.83,69.17,R/SR
Hesperis matronalis,Hesperis,matronalis,Brassicaceae,Brassicales,21.77,0,78.23,R/CR
